#   lamda     c0    c1      c2
 196.1241    3.6061E+01    8.4324E-03    1.4067E-04
 196.1342    3.6053E+01    8.9005E-03    1.4644E-04
 196.1442    3.6043E+01    8.7504E-03    1.3916E-04
 196.1542    3.6012E+01    8.9947E-03    1.4342E-04
 196.1642    3.5979E+01    8.5159E-03    1.3650E-04
 196.1742    3.5952E+01    9.4356E-03    1.5714E-04
 196.1842    3.5948E+01    9.7089E-03    1.5389E-04
 196.1942    3.5930E+01    9.6309E-03    1.5352E-04
 196.2042    3.5885E+01    9.5248E-03    1.6639E-04
 196.2142    3.5919E+01    1.0420E-02    1.6618E-04
 196.2242    3.5897E+01    9.9259E-03    1.5696E-04
 196.2342    3.5907E+01    1.0854E-02    1.5789E-04
 196.2442    3.5891E+01    1.1320E-02    1.6164E-04
 196.2542    3.5887E+01    1.2494E-02    1.7506E-04
 196.2642    3.5836E+01    1.0824E-02    1.5684E-04
 196.2742    3.5843E+01    1.0111E-02    1.4141E-04
 196.2842    3.5839E+01    1.0663E-02    1.5299E-04
 196.2942    3.5818E+01    9.8710E-03    1.4619E-04
 196.3042    3.5756E+01    8.0826E-03    1.2604E-04
 196.3142    3.5738E+01    7.7736E-03    1.1200E-04
 196.3242    3.5716E+01    7.2480E-03    9.8107E-05
 196.3342    3.5695E+01    7.5847E-03    1.0303E-04
 196.3442    3.5662E+01    7.1900E-03    1.0503E-04
 196.3542    3.5666E+01    7.7080E-03    1.1032E-04
 196.3642    3.5638E+01    7.9165E-03    1.2055E-04
 196.3742    3.5597E+01    8.5153E-03    1.4431E-04
 196.3842    3.5549E+01    8.0789E-03    1.4540E-04
 196.3942    3.5526E+01    8.4244E-03    1.4994E-04
 196.4042    3.5509E+01    8.8398E-03    1.6261E-04
 196.4142    3.5468E+01    8.0910E-03    1.5914E-04
 196.4242    3.5425E+01    8.1645E-03    1.7600E-04
 196.4342    3.5395E+01    7.9946E-03    1.7435E-04
 196.4442    3.5384E+01    7.8642E-03    1.7188E-04
 196.4542    3.5369E+01    8.8174E-03    1.8934E-04
 196.4642    3.5393E+01    8.9713E-03    1.7032E-04
 196.4742    3.5397E+01    9.0092E-03    1.5402E-04
 196.4842    3.5383E+01    8.0028E-03    1.3235E-04
